player,season,fg3_per_g,fg3a_per_g,fg3_pct,champion
Omer Yurtseven,2022,0.0,0.2,0.0,False
Kessler Edwards,2022,0.0,0.0,0.0,False
Draymond Green,2022,0.4,1.8,0.205,True
Danny Green,2022,2.6,6.3,0.408,False
Devonte' Graham,2022,0.8,2.3,0.357,False
Aaron Gordon,2022,0.6,3.0,0.2,False
Rudy Gobert,2022,0.0,0.0,0.0,False
Danilo Gallinari,2022,0.8,3.0,0.267,False
Bryn Forbes,2022,0.8,2.2,0.364,False
Malachi Flynn,2022,0.0,0.5,0.0,False
Malik Fitts,2022,0.2,0.2,1.0,False
Dorian Finney-Smith,2022,2.6,6.0,0.426,False
Joel Embiid,2022,0.7,3.3,0.212,False
Anthony Edwards,2022,3.8,9.5,0.404,False
Jae Crowder,2022,1.5,4.8,0.302,False
Kevin Durant,2022,1.8,5.3,0.333,False
Andre Drummond,2022,0.0,0.0,0.0,False
Goran Dragić,2022,1.0,3.0,0.333,False
Ayo Dosunmu,2022,0.6,2.6,0.231,False
Luka Dončić,2022,3.4,9.9,0.345,False
Spencer Dinwiddie,2022,2.2,5.3,0.417,False
Gorgui Dieng,2022,0.0,0.5,0.0,False
DeMar DeRozan,2022,0.0,1.8,0.0,False
Dewayne Dedmon,2022,0.1,0.7,0.1,False
Stephen Curry,2022,4.1,10.4,0.397,True
Seth Curry,2022,3.0,5.8,0.522,False
JaMychal Green,2022,0.2,1.0,0.2,False
Javonte Green,2022,0.0,1.2,0.0,False
Jeff Green,2022,0.6,1.6,0.375,False
Josh Green,2022,0.3,1.4,0.227,False
Isaiah Joe,2022,0.1,0.4,0.333,False
Jaren Jackson Jr.,2022,2.3,6.0,0.375,False
Kyrie Irving,2022,2.0,5.3,0.381,False
Brandon Ingram,2022,1.8,4.5,0.407,False
Andre Iguodala,2022,0.1,0.4,0.333,True
Serge Ibaka,2022,0.0,0.5,0.0,False
Bones Hyland,2022,1.6,4.6,0.348,False
De'Andre Hunter,2022,2.4,5.2,0.462,False
Kevin Huerter,2022,1.8,6.2,0.29,False
Danuel House Jr.,2022,0.3,1.7,0.2,False
Al Horford,2022,2.0,4.3,0.48,False
Jrue Holiday,2022,2.1,6.6,0.316,False
Aaron Holiday,2022,0.8,1.2,0.714,False
George Hill,2022,0.2,0.4,0.5,False
Haywood Highsmith,2022,0.4,0.6,0.6,False
Tyler Herro,2022,1.1,4.7,0.229,False
Willy Hernangómez,2022,0.0,1.0,0.0,False
Juancho Hernangómez,2022,0.7,2.0,0.333,False
Jaxson Hayes,2022,0.0,0.5,0.0,False
Sam Hauser,2022,0.1,0.4,0.333,False
Tobias Harris,2022,1.8,4.8,0.386,False
James Harden,2022,2.3,6.3,0.368,False
Blake Griffin,2022,1.0,2.5,0.4,False
Jarrett Culver,2022,0.0,0.7,0.0,False
Torrey Craig,2022,0.3,1.1,0.3,False
Jalen Johnson,2022,0.0,0.5,0.0,False
Dalano Banton,2022,0.0,0.0,0.0,False
Bojan Bogdanović,2022,1.8,5.5,0.333,False
Bogdan Bogdanović,2022,2.3,6.5,0.346,False
Nemanja Bjelica,2022,0.2,0.5,0.375,True
Bismack Biyombo,2022,0.0,0.0,0.0,False
Khem Birch,2022,0.3,0.7,0.5,False
Patrick Beverley,2022,1.5,4.3,0.346,False
Dāvis Bertāns,2022,1.1,2.8,0.373,False
Malik Beasley,2022,1.3,4.2,0.32,False
Charles Bassey,2022,0.0,0.0,0.0,False
Will Barton,2022,2.2,5.6,0.393,False
Scottie Barnes,2022,0.5,3.0,0.167,False
Desmond Bane,2022,3.6,7.3,0.489,False
DeMarcus Cousins,2022,0.8,1.2,0.667,False
Deandre Ayton,2022,0.2,0.3,0.5,False
OG Anunoby,2022,2.3,6.8,0.341,False
Thanasis Antetokounmpo,2022,0.0,0.0,0.0,False
Giannis Antetokounmpo,2022,0.8,3.4,0.22,False
Kyle Anderson,2022,0.3,1.0,0.25,False
Jose Alvarado,2022,1.0,2.7,0.375,False
Grayson Allen,2022,1.6,4.0,0.396,False
Nickeil Alexander-Walker,2022,0.0,0.0,0.0,False
Bam Adebayo,2022,0.0,0.1,0.0,False
Steven Adams,2022,0.0,0.0,0.0,False
Precious Achiuwa,2022,0.8,2.7,0.313,False
Isaac Bonga,2022,0.0,0.0,0.0,False
Devin Booker,2022,2.8,6.5,0.431,False
Chris Boucher,2022,1.0,2.5,0.4,False
Tony Bradley,2022,0.0,0.0,0.0,False
Pat Connaughton,2022,2.1,5.3,0.391,False
Mike Conley,2022,0.8,4.2,0.2,False
Nic Claxton,2022,0.0,0.0,0.0,False
Jordan Clarkson,2022,1.5,4.0,0.375,False
Brandon Clarke,2022,0.0,0.1,0.0,False
Marquese Chriss,2022,0.1,0.3,0.5,False
Alex Caruso,2022,1.8,4.5,0.389,False
Jevon Carter,2022,0.3,0.6,0.429,False
Clint Capela,2022,0.0,0.0,0.0,False
Vlatko Čančar,2022,0.5,1.0,0.5,False
Facundo Campazzo,2022,0.0,0.5,0.0,False
Jimmy Butler,2022,1.4,4.0,0.338,False
Jared Butler,2022,0.0,0.0,0.0,False
Trey Burke,2022,0.4,1.0,0.4,False
Reggie Bullock,2022,2.9,7.3,0.397,False
Jalen Brunson,2022,1.4,4.2,0.347,False
Troy Brown Jr.,2022,0.7,3.7,0.182,False
Sterling Brown,2022,0.0,0.4,0.0,False
Jaylen Brown,2022,2.5,6.7,0.373,False
Bruce Brown,2022,1.5,3.5,0.429,False
Dillon Brooks,2022,2.3,6.5,0.347,False
Armoni Brooks,2022,0.0,1.0,0.0,False
Mikal Bridges,2022,1.0,2.5,0.394,False
Cameron Johnson,2022,1.7,4.5,0.373,False
John Collins,2022,0.8,2.2,0.364,False
Nikola Jokić,2022,1.0,3.6,0.278,False
Landry Shamet,2022,0.8,2.2,0.346,False
Klay Thompson,2022,3.5,9.1,0.385,True
Cam Thomas,2022,0.0,0.0,0.0,False
Daniel Theis,2022,0.2,0.9,0.214,False
Garrett Temple,2022,0.0,0.0,0.0,False
Jayson Tatum,2022,3.2,8.2,0.393,False
Max Strus,2022,2.6,7.9,0.331,False
Nik Stauskas,2022,0.2,0.8,0.3,False
Jaden Springer,2022,0.0,0.2,0.0,False
Marcus Smart,2022,2.3,6.5,0.35,False
Pascal Siakam,2022,0.7,2.8,0.235,False
Day'Ron Sharpe,2022,0.0,0.0,0.0,False
D'Angelo Russell,2022,2.0,5.2,0.387,False
Cameron Payne,2022,0.4,2.3,0.167,False
